ROI,Subject,Effect,Session/Partition,LocalizerSize,EffectSize
1,253_KAN_EvDB_20150211a_PL2017,AV_lm, 1,37,3.413298
1,253_KAN_EvDB_20150211a_PL2017,AV_lo, 1,37,5.335879
1,253_KAN_EvDB_20150211a_PL2017,FW_hi, 1,37,-2.152405
1,253_KAN_EvDB_20150211a_PL2017,FW_lo, 1,37,6.879969
1,254_KAN_EvDB_20150211c_PL2017,N_hi, 1,37,-0.089086
1,254_KAN_EvDB_20150211c_PL2017,N_hm, 1,37,0.763482
1,254_KAN_EvDB_20150211c_PL2017,N_lm, 1,37,0.393461
1,254_KAN_EvDB_20150211c_PL2017,N_lo, 1,37,0.160603
1,254_KAN_EvDB_20150211c_PL2017,AJ_hi, 1,37,1.550150
1,254_KAN_EvDB_20150211c_PL2017,AJ_hm, 1,37,0.607979
1,254_KAN_EvDB_20150211c_PL2017,AJ_lm, 1,37,0.074380
1,254_KAN_EvDB_20150211c_PL2017,AJ_lo, 1,37,-0.069507
1,254_KAN_EvDB_20150211c_PL2017,V_hi, 1,37,0.377618
1,254_KAN_EvDB_20150211c_PL2017,V_hm, 1,37,1.240117
1,254_KAN_EvDB_20150211c_PL2017,V_lm, 1,37,0.993974
1,254_KAN_EvDB_20150211c_PL2017,V_lo, 1,37,0.406834
1,254_KAN_EvDB_20150211c_PL2017,AV_hi, 1,37,0.322026
1,254_KAN_EvDB_20150211c_PL2017,AV_hm, 1,37,0.727733
1,254_KAN_EvDB_20150211c_PL2017,AV_lm, 1,37,0.017273
1,254_KAN_EvDB_20150211c_PL2017,AV_lo, 1,37,0.490862
1,254_KAN_EvDB_20150211c_PL2017,FW_hi, 1,37,-1.060419
1,254_KAN_EvDB_20150211c_PL2017,FW_lo, 1,37,0.996795
1,117_KAN_EvDB_20150217c_PL2017,N_hi, 1,37,2.190756
1,117_KAN_EvDB_20150217c_PL2017,N_hm, 1,37,0.818233
1,117_KAN_EvDB_20150217c_PL2017,N_lm, 1,37,1.241828
1,117_KAN_EvDB_20150217c_PL2017,N_lo, 1,37,5.544481
1,117_KAN_EvDB_20150217c_PL2017,AJ_hi, 1,37,2.325351
1,117_KAN_EvDB_20150217c_PL2017,AJ_hm, 1,37,1.304423
1,117_KAN_EvDB_20150217c_PL2017,AJ_lm, 1,37,1.604483
1,117_KAN_EvDB_20150217c_PL2017,AJ_lo, 1,37,1.341329
1,117_KAN_EvDB_20150217c_PL2017,V_hi, 1,37,3.742001
1,117_KAN_EvDB_20150217c_PL2017,V_hm, 1,37,2.730423
1,117_KAN_EvDB_20150217c_PL2017,V_lm, 1,37,1.136670
1,117_KAN_EvDB_20150217c_PL2017,V_lo, 1,37,-0.319620
1,117_KAN_EvDB_20150217c_PL2017,AV_hi, 1,37,0.905514
1,117_KAN_EvDB_20150217c_PL2017,AV_hm, 1,37,2.744404
1,117_KAN_EvDB_20150217c_PL2017,AV_lm, 1,37,0.700260
1,117_KAN_EvDB_20150217c_PL2017,AV_lo, 1,37,0.587191
1,117_KAN_EvDB_20150217c_PL2017,FW_hi, 1,37,0.248945
1,117_KAN_EvDB_20150217c_PL2017,FW_lo, 1,37,5.013507
1,127_KAN_EvDB_20150217a_PL2017,N_hi, 1,37,0.858544
1,127_KAN_EvDB_20150217a_PL2017,N_hm, 1,37,-1.300876
1,127_KAN_EvDB_20150217a_PL2017,N_lm, 1,37,-1.320775
1,127_KAN_EvDB_20150217a_PL2017,N_lo, 1,37,2.250804
1,127_KAN_EvDB_20150217a_PL2017,AJ_hi, 1,37,-0.311696
1,127_KAN_EvDB_20150217a_PL2017,AJ_hm, 1,37,0.187559
1,127_KAN_EvDB_20150217a_PL2017,AJ_lm, 1,37,3.029984
1,127_KAN_EvDB_20150217a_PL2017,AJ_lo, 1,37,-0.963506
1,127_KAN_EvDB_20150217a_PL2017,V_hi, 1,37,4.571216
1,127_KAN_EvDB_20150217a_PL2017,V_hm, 1,37,4.488801
1,127_KAN_EvDB_20150217a_PL2017,V_lm, 1,37,-2.484101
1,127_KAN_EvDB_20150217a_PL2017,V_lo, 1,37,-0.938777
1,127_KAN_EvDB_20150217a_PL2017,AV_hi, 1,37,2.283004
1,127_KAN_EvDB_20150217a_PL2017,AV_hm, 1,37,4.087978
1,127_KAN_EvDB_20150217a_PL2017,AV_lm, 1,37,1.850965
1,127_KAN_EvDB_20150217a_PL2017,AV_lo, 1,37,2.020601
1,127_KAN_EvDB_20150217a_PL2017,FW_hi, 1,37,-0.642084
1,127_KAN_EvDB_20150217a_PL2017,FW_lo, 1,37,3.963981
1,259_KAN_EvDB_20150224c_PL2017,N_hi, 1,37,2.668479
1,259_KAN_EvDB_20150224c_PL2017,N_hm, 1,37,1.412203
1,259_KAN_EvDB_20150224c_PL2017,N_lm, 1,37,1.906675
1,259_KAN_EvDB_20150224c_PL2017,N_lo, 1,37,1.713464
1,259_KAN_EvDB_20150224c_PL2017,AJ_hi, 1,37,0.894693
1,259_KAN_EvDB_20150224c_PL2017,AJ_hm, 1,37,-0.943427
1,259_KAN_EvDB_20150224c_PL2017,AJ_lm, 1,37,2.206561
1,259_KAN_EvDB_20150224c_PL2017,AJ_lo, 1,37,5.246936
1,259_KAN_EvDB_20150224c_PL2017,V_hi, 1,37,1.217946
1,259_KAN_EvDB_20150224c_PL2017,V_hm, 1,37,2.353317
1,259_KAN_EvDB_20150224c_PL2017,V_lm, 1,37,1.658526
1,259_KAN_EvDB_20150224c_PL2017,V_lo, 1,37,1.352186
1,259_KAN_EvDB_20150224c_PL2017,AV_hi, 1,37,2.625576
1,259_KAN_EvDB_20150224c_PL2017,AV_hm, 1,37,4.718636
1,259_KAN_EvDB_20150224c_PL2017,AV_lm, 1,37,0.008277
1,259_KAN_EvDB_20150224c_PL2017,AV_lo, 1,37,-0.679462
1,259_KAN_EvDB_20150224c_PL2017,FW_hi, 1,37,-0.597379
1,259_KAN_EvDB_20150224c_PL2017,FW_lo, 1,37,2.572091
1,264_KAN_EvDB_20150310c_PL2017,N_hi, 1,37,1.380091
1,264_KAN_EvDB_20150310c_PL2017,N_hm, 1,37,0.589716
1,264_KAN_EvDB_20150310c_PL2017,N_lm, 1,37,1.127924
1,264_KAN_EvDB_20150310c_PL2017,N_lo, 1,37,0.068078
1,264_KAN_EvDB_20150310c_PL2017,AJ_hi, 1,37,5.362368
1,264_KAN_EvDB_20150310c_PL2017,AJ_hm, 1,37,2.766410
1,264_KAN_EvDB_20150310c_PL2017,AJ_lm, 1,37,2.107856
1,264_KAN_EvDB_20150310c_PL2017,AJ_lo, 1,37,2.316588
1,264_KAN_EvDB_20150310c_PL2017,V_hi, 1,37,-0.246142
1,264_KAN_EvDB_20150310c_PL2017,V_hm, 1,37,2.220629
1,264_KAN_EvDB_20150310c_PL2017,V_lm, 1,37,1.645985
1,264_KAN_EvDB_20150310c_PL2017,V_lo, 1,37,-0.153495
1,264_KAN_EvDB_20150310c_PL2017,AV_hi, 1,37,3.625526
1,264_KAN_EvDB_20150310c_PL2017,AV_hm, 1,37,2.315992
1,264_KAN_EvDB_20150310c_PL2017,AV_lm, 1,37,1.361177
1,264_KAN_EvDB_20150310c_PL2017,AV_lo, 1,37,3.007779
1,264_KAN_EvDB_20150310c_PL2017,FW_hi, 1,37,1.043244
1,264_KAN_EvDB_20150310c_PL2017,FW_lo, 1,37,5.055501
2,208_KAN_evDB_20140121a_PL2017,N_hi, 1,74,1.986857
2,208_KAN_evDB_20140121a_PL2017,N_hm, 1,74,3.405036
2,208_KAN_evDB_20140121a_PL2017,N_lm, 1,74,3.184320
2,208_KAN_evDB_20140121a_PL2017,N_lo, 1,74,1.012147
2,208_KAN_evDB_20140121a_PL2017,AJ_hi, 1,74,2.510933
2,208_KAN_evDB_20140121a_PL2017,AJ_hm, 1,74,3.362881
2,208_KAN_evDB_20140121a_PL2017,AJ_lm, 1,74,0.429073
2,208_KAN_evDB_20140121a_PL2017,AJ_lo, 1,74,-1.665858
2,208_KAN_evDB_20140121a_PL2017,V_hi, 1,74,0.197993
2,208_KAN_evDB_20140121a_PL2017,V_hm, 1,74,-0.956463
2,208_KAN_evDB_20140121a_PL2017,V_lm, 1,74,2.791390
2,208_KAN_evDB_20140121a_PL2017,V_lo, 1,74,2.940250
2,208_KAN_evDB_20140121a_PL2017,AV_hi, 1,74,-0.059388
2,208_KAN_evDB_20140121a_PL2017,AV_hm, 1,74,-0.595312
2,208_KAN_evDB_20140121a_PL2017,AV_lm, 1,74,0.904901
2,208_KAN_evDB_20140121a_PL2017,AV_lo, 1,74,1.194029
2,208_KAN_evDB_20140121a_PL2017,FW_hi, 1,74,1.590645
2,208_KAN_evDB_20140121a_PL2017,FW_lo, 1,74,0.181153
2,209_KAN_evDB_20140224_PL2017,N_hi, 1,74,3.090719
2,209_KAN_evDB_20140224_PL2017,N_hm, 1,74,-0.820840
2,209_KAN_evDB_20140224_PL2017,N_lm, 1,74,0.012865
2,209_KAN_evDB_20140224_PL2017,N_lo, 1,74,0.945174
2,209_KAN_evDB_20140224_PL2017,AJ_hi, 1,74,0.442446
2,209_KAN_evDB_20140224_PL2017,AJ_hm, 1,74,1.594206
2,209_KAN_evDB_20140224_PL2017,AJ_lm, 1,74,-0.185932
2,209_KAN_evDB_20140224_PL2017,AJ_lo, 1,74,-0.679468
2,209_KAN_evDB_20140224_PL2017,V_hi, 1,74,1.938512
2,209_KAN_evDB_20140224_PL2017,V_hm, 1,74,1.624731
2,209_KAN_evDB_20140224_PL2017,V_lm, 1,74,1.328173
2,209_KAN_evDB_20140224_PL2017,V_lo, 1,74,0.548664
2,209_KAN_evDB_20140224_PL2017,AV_hi, 1,74,0.155390
